[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=0) = 0.0
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=1) = -2.0000000000000004
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=2) = -4.000000000000001
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=3) = -4.000000000000001
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=4) = -4.000000000000001
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=5) = -4.000000000000001
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=6) = -4.0
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1) = -0.219970703125
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 18) = -0.432861328125
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 20) = 0.0615234375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 16) = 0.112060546875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 19) = 0.430419921875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 21) = 0.57373046875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 17) = 0.378173828125
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 21) = 0.36474609375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 21) = 0.02978515625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 20) = 0.02880859375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 19) = 0.147705078125
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 17) = 0.610107421875
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 22) = 0.419921875
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 22) = -0.288818359375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 18) = -0.288818359375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 20) = 0.1552734375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 22) = 0.017333984375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 21) = 0.7021484375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 23) = 0.126220703125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 23) = -0.230224609375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 19) = 0.61328125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 21) = -0.265380859375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 23) = 0.0341796875
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 18) = -0.181396484375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 24) = -0.188232421875
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 24) = 0.206298828125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 22) = 0.01171875
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 20) = 0.36376953125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 19) = -0.079345703125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 22) = 0.400390625
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 24) = -0.0419921875
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 25) = 0.63916015625
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 23) = 0.500732421875
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 23) = -0.0732421875
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 20) = -0.334716796875
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 26) = -0.5224609375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 21) = -0.255859375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 25) = 0.0068359375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 24) = 0.29052734375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 24) = 0.104736328125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 25) = -0.52294921875
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 26) = 0.0234375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 21) = -0.572509765625
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 22) = -0.3369140625
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 25) = -0.052001953125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 27) = -0.086669921875
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 25) = 0.0771484375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 26) = 0.107177734375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 22) = 0.4833984375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 27) = -0.008544921875
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 26) = 0.25732421875
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 28) = 0.122802734375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 26) = -0.861572265625
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 23) = 0.405029296875
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 27) = 0.6748046875
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 28) = 0.0
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 23) = -0.04443359375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 29) = 0.548583984375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 27) = -0.2470703125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 27) = 0.233154296875
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 24) = 0.504150390625
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 28) = -0.3369140625
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 29) = 0.015380859375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 30) = 0.388671875
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 24) = -0.175537109375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 28) = -0.59130859375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 28) = 0.44140625
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 25) = 0.3427734375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 30) = 0.010986328125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 29) = -0.089111328125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 31) = 0.023193359375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 29) = -0.041259765625
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 25) = 0.501953125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 29) = 0.267578125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 31) = 0.04736328125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 26) = 0.960205078125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 30) = -0.33056640625
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 32) = -0.177001953125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 30) = 0.438720703125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 30) = -0.13037109375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 26) = 0.574951171875
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 27) = 0.53759765625
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 32) = 0.009521484375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 31) = -0.350830078125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 31) = -0.033203125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 33) = -0.41064453125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 31) = 0.1591796875
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 27) = 0.329345703125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 33) = 0.026611328125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 28) = -0.190673828125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 32) = -0.035400390625
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 34) = 0.329345703125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 32) = 0.06298828125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 32) = 0.2734375
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 28) = -0.1494140625
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 34) = -0.037841796875
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 29) = 0.03076171875
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 33) = 0.507080078125
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 35) = -0.02197265625
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 33) = 0.012451171875
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 33) = 0.164306640625
[2025-10-05 22:36:59] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 29) = -0.17333984375
